Group,Seniority,Position,Location,Salary_b2b,Salary_permanent,Obligatory_skills,Optional_skills
Javascript,Mid,AEM Front-end Developer, Łódź,13 650 - 18 900 PLN,No permanent information,"[{'AEM': 'advanced'}, {'JavaScript ES6': 'advanced'}, {'HTML5': 'regular'}, {'CSS3': 'regular'}, {'SASS': 'regular'}, {'Less': 'regular'}, {'Bootstrap': 'regular'}, {'jQuery': 'regular'}, {'XML': 'regular'}, {'REST API': 'regular'}]",
Javascript,Mid,Fullstack Developer with Node.js, Warszawa,12 000 - 19 000 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'Node.js': 'regular'}, {'React': 'junior'}]",
Javascript,Senior,Lead JavaScript Developer, Katowice,14 000 - 19 000 PLN,No permanent information,"[{'Angular or React': 'master'}, {'CSS/HTML': 'master'}, {'Clean Code': 'master'}, {'TypeScript': 'master'}, {'JavaScript': 'master'}, {'Unit Testing': 'advanced'}]","[{'Cloud': 'nice to have'}, {'Node.js': 'nice to have'}]"
Javascript,Senior,"React Developer (MobX, RxJS) (REMOTE)", Warszawa,20 000 - 24 000 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'React': 'regular'}, {'RxJS': 'junior'}, {'MOBX': 'junior'}]",
Javascript,Senior,Senior React Developer, Warszawa,23 000 - 28 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'React': 'advanced'}]",
Javascript,Mid,Node.js Developer, Kraków,12 000 - 18 000 PLN,10 000 - 15 000 PLN,"[{'English': 'advanced'}, {'Node.js': 'regular'}, {'JavaScript': 'regular'}, {'RabbitMQ': 'regular'}, {'Elasticsearch': 'regular'}]",
Javascript,Senior,Senior JavaScript Engineer (Node/React), Poznań,16 000 - 21 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'Node.js': 'advanced'}, {'React': 'advanced'}, {'MySQL': 'regular'}, {'Docker': 'junior'}, {'Kubernetes': 'junior'}]",[{'Express.js': 'nice to have'}]
Javascript,Mid,Full Stack Developer (Node.js + React), Kraków,12 000 - 18 000 PLN,10 000 - 15 000 PLN,"[{'Node.js': 'regular'}, {'TypeScript': 'regular'}, {'React': 'regular'}, {'SQL': 'regular'}, {'NoSQL': 'regular'}, {'CI/CD': 'regular'}]",
Javascript,Mid,Frontend Developer, Poznań,9 000 - 16 000 PLN,No permanent information,"[{'HTML': 'advanced'}, {'JavaScript': 'advanced'}, {'CSS': 'advanced'}, {'React': 'advanced'}]",[{'PHP': 'nice to have'}]
Javascript,Mid,Frontend Developer, Szczecin,9 000 - 16 000 PLN,No permanent information,"[{'HTML': 'advanced'}, {'JavaScript': 'advanced'}, {'CSS': 'advanced'}, {'React': 'advanced'}]",[{'PHP': 'nice to have'}]
